635nm,520nm,405nm,target
29.5751,29.5565,29.5355,1
29.6005,29.5818,29.5581,1
29.609,29.5896,29.5663,1
29.6032,29.5837,29.5602,1
29.6242,29.6057,29.5848,1
29.6351,29.617,29.5942,1
29.6347,29.6163,29.5927,1
29.6404,29.6205,29.5979,1
29.6449,29.6252,29.6046,1
29.6771,29.6577,29.6346,1
29.6963,29.6779,29.6546,1
29.6908,29.671,29.6494,1
29.6909,29.6722,29.6488,1
29.7128,29.6946,29.6704,1
29.7113,29.6923,29.6717,1
29.7246,29.7062,29.6826,1
29.7336,29.7149,29.6932,1
29.7318,29.7138,29.6916,1
29.7569,29.7382,29.7172,1
29.7979,29.7799,29.7569,1
29.8048,29.7859,29.7629,1
29.7717,29.752,29.7287,1
29.813,29.7941,29.772,1
29.7975,29.7793,29.7588,1
29.8456,29.826,29.8023,1
29.8505,29.8314,29.8111,1
29.8456,29.8272,29.8053,1
29.8652,29.8472,29.8258,1
29.8677,29.8496,29.8247,1
29.8513,29.8324,29.8108,1
29.9077,29.8883,29.865,1
29.8903,29.8706,29.8463,1
29.89,29.8713,29.8499,1
29.9018,29.8835,29.8597,1
29.9307,29.9127,29.892,1
29.9232,29.905,29.8807,1
29.9288,29.909,29.8854,1
29.9621,29.9423,29.9198,1
29.9793,29.9604,29.9376,1
29.9988,29.9805,29.9603,1
29.9807,29.9624,29.939,1
30.0056,29.9866,29.9646,1
29.9848,29.9666,29.9465,1
29.999,29.9795,29.9574,1
30.0236,30.0053,29.9819,1
30.0295,30.0096,29.9849,1
30.0419,30.0222,29.9978,1
30.0466,30.0284,30.0051,1
30.0468,30.0279,30.0066,1
30.0691,30.051,30.0308,1
30.0804,30.0623,30.0378,1
30.1182,30.0999,30.0788,1
30.1037,30.0841,30.0631,1
30.1304,30.1114,30.0894,1
30.1339,30.1144,30.0902,1
30.1323,30.114,30.0926,1
30.1594,30.141,30.1204,1
30.1557,30.1375,30.1136,1
30.1761,30.1562,30.1356,1
30.1823,30.1633,30.142,1
30.1991,30.1807,30.158,1
30.1907,30.1722,30.1473,1
30.2134,30.1949,30.1724,1
30.1916,30.1736,30.1508,1
